PlotID	SampleID	TubeID	BarcodeID	PrimerPairID	Vol	Conc	Quantity	ProjectID	Investigator	PlatePosition	SpeciesID	HarvestYear
4L	D7bz	H1	Bravo56	16S	15	33.01	NA	Zanne-16S/Zanne-16S	Zanne	H7	ASTR	3
4L	E7tz	A2	Bravo57	ITS-1_4	15	5.75	NA	Zanne-ITS/Zanne-ITS	Zanne	A8	CATO	3
4L	E7tz	A2	Bravo57	LSU	15	37.55	NA	Zanne-LSU/Zanne-LSU	Zanne	A8	CATO	3
4L	E7tz	A2	Bravo57	16S	15	6.07	NA	Zanne-16S/Zanne-16S	Zanne	A8	CATO	3
4L	E7bz	B2	Bravo58	ITS-1_4	15	8.29	NA	Zanne-ITS/Zanne-ITS	Zanne	B8	CATO	3
4L	E7bz	B2	Bravo58	LSU	15	31.83	NA	Zanne-LSU/Zanne-LSU	Zanne	B8	CATO	3
4L	E7bz	B2	Bravo58	16S	15	23.77	NA	Zanne-16S/Zanne-16S	Zanne	B8	CATO	3
4L	F7tz	C2	Bravo59	ITS-1_4	15	3.26	NA	Zanne-ITS/Zanne-ITS	Zanne	C8	CEOC	3
4L	F7tz	C2	Bravo59	LSU	15	15.41	NA	Zanne-LSU/Zanne-LSU	Zanne	C8	CEOC	3
4L	F7tz	C2	Bravo59	16S	15	41.29	NA	Zanne-16S/Zanne-16S	Zanne	C8	CEOC	3
4L	F7bz	D2	Bravo60	ITS-1_4	15	8.39	NA	Zanne-ITS/Zanne-ITS	Zanne	D8	CEOC	3
4L	F7bz	D2	Bravo60	LSU	15	19.82	NA	Zanne-LSU/Zanne-LSU	Zanne	D8	CEOC	3
4L	F7bz	D2	Bravo60	16S	15	39.04	NA	Zanne-16S/Zanne-16S	Zanne	D8	CEOC	3
4L	G7tz	E2	Bravo61	ITS-1_4	15	5.92	NA	Zanne-ITS/Zanne-ITS	Zanne	E8	CEOC2	1
4L	G7tz	E2	Bravo61	LSU	15	21.12	NA	Zanne-LSU/Zanne-LSU	Zanne	E8	CEOC2	1
4L	G7tz	E2	Bravo61	16S	15	33.06	NA	Zanne-16S/Zanne-16S	Zanne	E8	CEOC2	1
